Year,State,Broad_category,Fuel_category,Registered_vehicle
2023,Karnataka,3 Wheeler,Diesel & Others,7006
2023,Karnataka,3 Wheeler,Electric Vehicle,4480
2023,Karnataka,3 Wheeler,Others,4550
2023,Karnataka,3 Wheeler,Petrol & Others,530
2013,Karnataka,HGV,CNG,0
2013,Karnataka,HGV,Diesel & Others,12913
2013,Karnataka,HGV,Electric Vehicle,0
2013,Karnataka,HGV,Others,24
2013,Karnataka,HGV,Petrol & Others,8
2014,Karnataka,HGV,CNG,0
2014,Karnataka,HGV,Diesel & Others,14057
2014,Karnataka,HGV,Electric Vehicle,0
2014,Karnataka,HGV,Others,16
2014,Karnataka,HGV,Petrol & Others,8
2015,Karnataka,HGV,CNG,0
2015,Karnataka,HGV,Diesel & Others,16806
2015,Karnataka,HGV,Electric Vehicle,0
2015,Karnataka,HGV,Others,30
2015,Karnataka,HGV,Petrol & Others,19
2016,Karnataka,HGV,CNG,1
2016,Karnataka,HGV,Diesel & Others,17890
2016,Karnataka,HGV,Electric Vehicle,0
2016,Karnataka,HGV,Others,15
2016,Karnataka,HGV,Petrol & Others,24
2017,Karnataka,HGV,CNG,1
2017,Karnataka,HGV,Diesel & Others,15223
2017,Karnataka,HGV,Electric Vehicle,0
2017,Karnataka,HGV,Others,7
2017,Karnataka,HGV,Petrol & Others,3
2018,Karnataka,HGV,CNG,0
2018,Karnataka,HGV,Diesel & Others,19083
2018,Karnataka,HGV,Electric Vehicle,0
2018,Karnataka,HGV,Others,24
2018,Karnataka,HGV,Petrol & Others,30
2019,Karnataka,HGV,CNG,1
2019,Karnataka,HGV,Diesel & Others,13561
2019,Karnataka,HGV,Electric Vehicle,0
2019,Karnataka,HGV,Others,40
2019,Karnataka,HGV,Petrol & Others,0
2020,Karnataka,HGV,CNG,5
2020,Karnataka,HGV,Diesel & Others,4923
2020,Karnataka,HGV,Electric Vehicle,0
2020,Karnataka,HGV,Others,114
2020,Karnataka,HGV,Petrol & Others,0
2021,Karnataka,HGV,CNG,242
2021,Karnataka,HGV,Diesel & Others,10215
2021,Karnataka,HGV,Electric Vehicle,0
2021,Karnataka,HGV,Others,255
2021,Karnataka,HGV,Petrol & Others,0
2022,Karnataka,HGV,CNG,248
2022,Karnataka,HGV,Diesel & Others,16261
2022,Karnataka,HGV,Electric Vehicle,0
2022,Karnataka,HGV,Others,405
2022,Karnataka,HGV,Petrol & Others,0
2023,Karnataka,HGV,CNG,149
2023,Karnataka,HGV,Diesel & Others,13356
2023,Karnataka,HGV,Electric Vehicle,3
2023,Karnataka,HGV,Others,209
2023,Karnataka,HGV,Petrol & Others,0
2013,Karnataka,HMV,CNG,0
2013,Karnataka,HMV,Diesel & Others,154
2013,Karnataka,HMV,Electric Vehicle,0
2013,Karnataka,HMV,Others,1
