Year,State,Broad_category,Fuel_category,Registered_vehicle
2015,Karnataka,Others,Petrol & Others,35
2016,Karnataka,Others,CNG,0
2016,Karnataka,Others,Diesel & Others,1622
2016,Karnataka,Others,Electric Vehicle,1
2016,Karnataka,Others,Others,113
2016,Karnataka,Others,Petrol & Others,52
2017,Karnataka,Others,CNG,0
2017,Karnataka,Others,Diesel & Others,1521
2017,Karnataka,Others,Electric Vehicle,0
2017,Karnataka,Others,Others,124
2017,Karnataka,Others,Petrol & Others,90
2018,Karnataka,Others,CNG,0
2018,Karnataka,Others,Diesel & Others,1710
2018,Karnataka,Others,Electric Vehicle,0
2018,Karnataka,Others,Others,7
2018,Karnataka,Others,Petrol & Others,119
2019,Karnataka,Others,CNG,0
2019,Karnataka,Others,Diesel & Others,2385
2019,Karnataka,Others,Electric Vehicle,0
2019,Karnataka,Others,Others,3
2019,Karnataka,Others,Petrol & Others,150
2020,Karnataka,Others,CNG,0
2020,Karnataka,Others,Diesel & Others,3029
2020,Karnataka,Others,Electric Vehicle,0
2020,Karnataka,Others,Others,6
2020,Karnataka,Others,Petrol & Others,172
2021,Karnataka,Others,CNG,1
2021,Karnataka,Others,Diesel & Others,3202
2021,Karnataka,Others,Electric Vehicle,0
2021,Karnataka,Others,Others,12
2021,Karnataka,Others,Petrol & Others,203
2022,Karnataka,Others,CNG,0
2022,Karnataka,Others,Diesel & Others,5047
2022,Karnataka,Others,Electric Vehicle,2
2022,Karnataka,Others,Others,8
2022,Karnataka,Others,Petrol & Others,258
2023,Karnataka,Others,CNG,0
2023,Karnataka,Others,Diesel & Others,4852
2023,Karnataka,Others,Electric Vehicle,5
2023,Karnataka,Others,Others,8
2023,Karnataka,Others,Petrol & Others,292
